neuroimaging_modality,fmri_design_type,event_design,task_type,condition_type,conditions,total_length_seconds,mri_field_strength,pulse_sequence_type,imaging_type,resolution_mm,analysis_software,preprocessing_steps,statistical_model,pain_type,pain_location,pain_modality,pain_intensity,pain_duration,pmcid
fMRI,task-based,event-related,cognitive,neutral,"['individual OCD', 'neutral']",160.0,3T,gradient echo,EPI,3,SPM12,"['realignment', 'despiking', 'slice time correction', 'normalization to MNI-space', 'smoothing']",ANOVA,,,,,,7687999
EEG,,event-related,cognitive,non-painful,"['S1', 'S2']",,,,,,"Presentation software (Version 18.3, Neurobehavioral Systems, Inc.)","['digital filtering', 'baseline correction', 'artifact rejection']",MANOVA,,,,,,6052091
MRI,,,,,,,1.5T,fast spin-echo,T2-weighted,2.0,SPM8,"['motion correction', 'eddy current distortion correction', 'skull-stripping', 'intensity inhomogeneity correction']",ANCOVA,,,,,,3480429
MRI,,,,,,,1.5T,single-shot echo-planar,DTI,3.0,SPM8,"['motion correction', 'eddy current distortion correction']",ANCOVA,,,,,,3480429
MRI,,,,,,138000.0,1.5T,gradient echo,echo planar imaging (EPI),1.5,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,5984600
fMRI-BOLD,task-based,event-related,cognitive,,"['smaller, sooner', 'larger, later', 'control']",,,,,,GIFT,,GLM,,,,,,6699467
fMRI,task-based,block,cognitive,non-painful,"['oral stereo', 'oral control', 'manual stereo', 'manual control', 'visual stereo', 'visual control']",510.0,3T,gradient echo,EPI,1x1x3.1,FSL,"['motion correction', 'temporal filtering', 'realignment', 'co-registration', 'normalization', 'spatial smoothing']",mixed effects models,,,,,,10182931
fMRI,task-based,block,cognitive,neutral,"['S', 'F', 'Sf', 'Fs', 'R']",2400.0,3T,gradient echo,echo planar imaging (EPI),3.5,FSL,"['brain extraction', 'motion correction', 'spatial smoothing', 'high-pass temporal filtering']",dual regression,,,,,,6192623
MRI,,,,,,,1.5T,T1-weighted,3D,,SPM,"['coregistration', 'segmentation', 'spatial normalization', 'smoothing']",GLM,,,,,,6972978
fMRI-BOLD,task-based,block,cognitive,neutral,"['rest', '0-Back', '1-Back', '2-Back']",912.0,1.5T,gradient echo,Echo Planar Imaging (EPI),3.5,SPM,"['slice timing correction', 'within subject registration', 'non-linear spatial normalization', 'spatial smoothing', 'high-pass temporal filtering']",GLM,,,,,,5857603
fMRI,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3.8 3.8 4.0,SPM12,"['motion correction', 'slice timing correction', 'normalization', 'smoothing']",GLM,,,,,,6703901
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['DICOM format conversion', 'removal of the first 10 time points', 'slice timing', 'head motion correction', 'segmentation and registration', 'spatial smoothing', 'filter (0.01~0.1 Hz)', 'detrended linear drift', 'regression covariates']",GLM,chronic,not specified,not specified,not specified,not specified,10605464
MRI,,,,,,241.0,3T,T1-weighted,,0.81x0.81x0.6,SPM12,"['bias field correction', 'segmentation into GM, WM, and cerebrospinal fluid', 'normalization into standard space', 'modulation using nonlinear deformation', 'smoothing with Gaussian kernel']",flexible factorial analysis,,,,,,5859011
MRI,,,,,,,3T,MPRAGE,3D,1mm,SPM12,"['normalization to MNI space', 'segmentation into grey and white matter', 'smoothing']",GLM,,,,,,7674350
DTI,,,,,,,3T,multi-directional diffusion weighting (MDDW),,2.0,ExploreDTI,"['signal drift correction', 'Gibbs ringing correction', 'subject motion correction', 'eddy currents correction', 'EPI distortions correction']",,,,,,,7674350
fMRI-BOLD,task-based,block,cognitive,neutral,"['LL', 'HH']",,3T,echo planar imaging,EPI,3,SPM8,"['slice time correction', 'motion correction', 'spatial normalization', 'smoothing']",GLM,,,,,,4626783
EEG,,event-related,cognitive,,"['Attend-Go', 'Attend-NoGo', 'Ignore-Go', 'Ignore-NoGo']",300.0,,,,,E-Prime,"['band-pass filter', 'independent component analysis', 'down-sampling', 're-referencing']",ANOVA,,,,,,5575050
MRI,,,,,,798.0,1.5T,gradient recalled echo,3D,0.97 0.97 1.5,SPM2,"['motion correction', 'intersequence correction', 'skull-stripping', 'segmentation']",GLM,,,,,,2691409
fMRI,task-based,mixed,cognitive,neutral,"['PSP', 'PD', 'HC']",,,,,,Ginger ALE,,ALE,,,,,,3927227
MRI,,,,,,,3T,gradient echo,3D,,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,3927227
PET,,,,,,,,,,,,,,,,,,,3927227
MRI,,,,,,207.0,3T,gradient echo,3D,1.0,BrainVoyager,"['motion correction', 'slice timing correction']",t-test,,,,,,5253366
fMRI-BOLD,resting-state,,,,,1440.0,3T,gradient echo,echo planar imaging (EPI),3.4,SPM8,"['motion correction', 'realignment', 'normalization']",,,,,,,5963507
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['Objects', 'Implied Actions', 'Nouns', 'Verbs']",2160.0,3T,EPI,EPI,3.5,SPM10,"['slice timing correction', 'realignment', 'co-registration', 'normalization']",SVM,,,,,,5919964
fMRI-BOLD,task-based,event-related,pain,painful,"['pain', 'no-pain']",1080.0,1.5T,EPI,EPI,3,SPM8,"['motion correction', 'slice timing correction', 'coregistration', 'normalization', 'smoothing']",GLM,experimental,hand and foot,visual,medium,short,5655021
fMRI,task-based,mixed,motor,neutral,"['FREE', 'REACT', 'REST']",2100.0,3T,gradient echo,EPI,3.6,SPM12,"['slice-timing correction', 'realignment', 'co-registration', 'normalization', 'smoothing']",GLM,,,,,,6438987
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3.44,"DPABI, SPM12","['slice timing correction', 'head motion correction']",GLM,,,,,,10134448
fMRI-BOLD,task-based,mixed,emotional,neutral,"['liked', 'disliked', 'happy', 'sad']",1260.0,3T,gradient echo,EPI,4,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,4701928
MRI,task-based,event-related,cognitive,neutral,"['high-frequency nouns', 'nonwords', 'word triplets']",264.0,3T,gradient echo,3D,1,FSL,"['motion correction', 'brain extraction', 'smoothing']",GLM,,,,,,3867969
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['free language selection', 'forced language selection']",,3T,gradient echo,echo planar imaging (EPI),3.44,SPM,"['slice timing correction', 'motion correction']",GLM,,,,,,4503947
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,T2*-weighted,3.8,SPM12,"['discarding the first 10 TRs', 'correcting for slice acquisition shifts', 'realigning and correcting for small movements', 'co-registering for individual T1 and the realigned functional volumes', 'normalizing to the Montreal Neurological Institute (MNI152) space', 'spatial smoothing', 'reducing confounding factors via linear regression', 'temporal filtering', 'motion scrubbing']",t-test,,,,,,6472434
PET,,,,,,1200.0,3T,,3D,2,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,9599090
fMRI,resting-state,,,,,,3T,,EPI,3,DPARSF,"['motion correction', 'slice timing correction']",GLM,,,,,,9599090
MRI,,,,,,,3T,gradient echo,3D,1,,,,,,,,,9599090
Diffusion MRI,,,,,,,1.5T,gradient echo,3D,1.0 1.0 1.0,TIFT,"['eddy current correction', 'transformation to iso-voxels and smoothing', 'template generation and spatial normalisation']",TFAS,,,,,,2186341
MRI,,,,,,340.0,3T,T1-weighted,3D,1,SPM8,"['bias correction', 'tissue segmentation', 'data registration']",ANCOVA,,,,,,5978277
fMRI-BOLD,task-based,mixed,emotional,painful,"['justified', 'unjustified']",3600.0,3T,gradient echo,echo planar imaging (EPI),2,FSL,"['motion correction', 'slice timing correction', 'non-brain removal', 'grand-mean intensity normalization', 'high-pass temporal filtering']",ISC,,,,,,6885594
fMRI-BOLD,task-based,mixed,motor,neutral,"['internal focus', 'external focus', 'move-only', 'dual task', 'rest']",840.0,1.5T,gradient echo,echo planar imaging (EPI),3.4,SPM 8,"['motion correction', 'slice timing correction', 'spatial normalization']",GLM,,,,,,3581438
fMRI,resting-state,,,,,490.0,3T,EPI,EPI,3,"SPM8, REST 1.8","['slice timing correction', 'head motion correction', 'normalization', 'smoothing']",ANOVA,,,,,,4794878
MRI,,,,,,520.0,3T,spin echo,echo planar imaging (EPI),2,FSL,"['motion correction', 'eddy current correction']",GLM,,,,,,7000661
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['immediate feedback', '200 ms delay', '400 ms delay', '600 ms delay']",2700.0,3T,EPI,EPI,3,BrainVoyager QX,"['slice scan time correction', '3D-motion correction', 'linear trend removal', 'spatial smoothing', 'temporal filtering']",GLM,,,,,,4712932
fMRI-BOLD,resting-state,,,,,554.0,3T,gradient echo,echo planar imaging (EPI),3.125,FSL,"['motion correction', 'brain extraction', 'spatial smoothing', 'temporal filtering']",GLM,chronic,hand,thermal,medium,long,9556937
MRI,,,,,,,3T,MPRAGE,3D,1,SPM8,"['segmentation', 'normalization', 'smoothing']",GLM,,,,,,4362313
fMRI,resting-state,,,,,1800.0,3T,MPRAGE,3D,1,SPM8,"['motion correction', 'normalization', 'segmentation']",multiple linear regression,,,,,,5366353
fMRI-BOLD,resting-state,,,,,346.0,3T,gradient echo,echo planar imaging (EPI),4,"MATLAB 2014a, DPABI","['motion correction', 'slice timing correction', 'registration', 'standardization', 'smoothing']",GLM,,,,,,9366470
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['joke expectation', 'joke incongruity', 'joke resolutionelaboration', 'nonjoke expectation', 'nonjoke incongruity', 'nonjoke resolutionelaboration']",240.0,3T,gradient echo,echo planar imaging (EPI),3.4,SPM12,"['slice timing', 'realignment', 'coregistration', 'normalization', 'smoothing']",GLM,,,,,,10046724
MRI,resting-state,,,,,284.0,3T,fast spin-echo,3D,2.0,SPM8,"['motion correction', 'spatial smoothing']",non-parametric tests,,,,,,5946009
fMRI-BOLD,task-based,mixed,cognitive,non-painful,"['Clear', 'Rotated', 'Rotated+Vocoded']",294.0,3T,gradient echo,EPI,2.5,FSL,"['motion correction', 'slice timing correction', 'regression of cardiac and respiration signals']",GLM,,,,,,9467868
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['CONTROL', 'SCALING', 'BUNDLING']",540.0,3T,gradient echo,echo planar imaging (EPI),3mm,FSL,"['motion correction', 'time correction', 'skull stripping', 'spatial normalization', 'Gaussian smoothing', 'highpass temporal filter']",GLM,,,,,,9921239
MRI,,,,,,,3T,fast spoiled gradient-echo,3D,1 1 1,SPM,"['motion correction', 'topological corrections', 'smoothing with Gaussian kernel']",GLM,,,,,,7685197
fMRI-BOLD,resting-state,,,,,360.0,3T,gradient echo,echo planar imaging (EPI),3.4375,SPM,"['removing the first five time points', 'slice timing correction', 'realigning', 'normalizing', 'detrending', 'filtering', 'scrubbing the BOLD-fMRI data', 'regression of the Friston-24 motion parameters']",ANOVA,,,,,,9083321
ASL,resting-state,,,,,,3T,pseudo-continuous ASL,3D,0.5 0.5 4,,,,,,,,,9083321
fMRI-BOLD,resting-state,,,,,,3T,,echo planar imaging (EPI),3,SPM,"['slice-time correction', 'motion correction', 'spatial normalization']",GLM,,,,,,3605412
fMRI,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3x3x3,DPARSF,"['slice-time correction', 'head-motion correction', 'normalization', 'smoothing']",GLM,,,,,,9240203
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['Targets', 'Non-Targets', 'Novels']",720.0,3T,echo planar imaging,EPI,3.5,SPM8,"['slice-time correction', 'realignment', 'co-registration', 'spatial normalization', 'smoothing']",GLM,,,,,,4141983
fMRI-BOLD,task-based,block,cognitive,neutral,"['vW', 'aW', 'vO', 'vC', 'aO', 'vP', 'aP', 'aH']",5400.0,3T,gradient echo,EPI,3.0,SPM12,"['motion correction', 'slice timing correction', 'normalization', 'smoothing']",GLM,,,,,,8517928
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['negative', 'positive', 'neutral']",840.0,3T,EPI,EPI,3mm,SPM5,"['slice-time correction', 'realignment', 'spatial normalization', 'smoothing']",GLM,,,,,,6989835
MRI,,,,,,,3T,gradient echo,3D,0.47,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,4542504
fMRI,task-based,block,cognitive,neutral,"['happy', 'neutral', 'angry']",,3T,gradient echo,echo planar imaging (EPI),3x3x5,SPM5,"['realignment', 'unwarping', 'coregistration', 'normalization', 'smoothing']",GLM,,,,,,3797968
fMRI,task-based,block,pain,painful,"['high pain', 'low pain', 'warm']",180.0,3T,gradient echo,echo planar imaging (EPI),3,FSL,"['motion correction', 'non-brain removal', 'spatial smoothing', 'non-linear high pass temporal filtering']",GLM,experimental,hand,thermal,high,short,3485317
MRI,,,,,,,3T,,3D,1mm,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,8447504
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['gustatory positive', 'gustatory neutral', 'gustatory negative', 'visual positive', 'visual neutral', 'visual negative']",3240.0,3T,EPI,EPI,3x3x3,"SPM, FSL, MATLAB","['motion correction', 'slice timing correction', 'skull-stripping', 'normalization']",GLM,,,,,,6279740
fMRI-BOLD,resting-state,,,,,1116.0,3T,gradient echo,echo planar imaging (EPI),3.75,"SPM12, RESTplus Version 1.2","['slice timing', 'realignment', 'spatial normalization']",GLM,,,,,,8417797
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['removed the first 10 time points', 'temporal layer correction', 'performed realignment', 'spatial normalization', 'smoothed images with a 4 mm Gaussian kernel', 'removing linear trends', 'regressed out nuisance covariates', 'performed temporal filtering', 'exclusion of participants whose head moved more than 3 mm']",GLM,,,,,,10098132
MRI,resting-state,,,,,540.0,3T,gradient echo,echo planar imaging (EPI),2.0,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,9346127
fMRI,task-based,mixed,cognitive,non-painful,"['semantic', 'phonological']",,,,,,GingerALE,,ALE,,,,,,8456749
PET,task-based,mixed,cognitive,non-painful,"['semantic', 'phonological']",,,,,,GingerALE,,ALE,,,,,,8456749
fMRI,task-based,mixed,cognitive,non-painful,,300.0,3T,gradient echo,3D,1x1x1,SPM12,"['alignment of whole-brain images along the anterior-posterior commissure line', 'isolation of the cerebellum and brainstem', 'segmentation of the images into tissue-type maps', 'normalization of these maps into the SUIT atlas template', 'modulation of normalized cerebellar maps to obtain GM volume', 'spatial smoothing of cerebellar GM volume maps']",GLM,,,,,,10851702
PET,,,,,,,,,,,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,5569065
fMRI,task-based,mixed,cognitive,neutral,"['0-back', '2-back']",,3T,gradient echo,EPI,1,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,5569065
fMRI,task-based,mixed,cognitive,neutral,"['0-back', '2-back']",,3T,gradient echo,EPI,1,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,5569065
PET,,,,,,,,,,,"Review Manager 5.3, Seed-Based Mapping (SDM)",,,,,,,,8119802
fMRI,task-based,mixed,emotional,neutral,['erotic video'],600.0,3T,gradient echo,echo planar imaging (EPI),5,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,6963119
fMRI-BOLD,resting-state,,,,,600.0,3T,gradient echo,echo planar imaging (EPI),3.2,SPM,"['slice timing correction', 'realignment', 'normalization', 'smoothing', 'motion correction']",multiple regression,,,,,,10822854
ASL MRI,resting-state,,,,,,3T,,,,FSL,"['motion correction', 'skull stripping']",mixed linear effects model,,,,,,6864894
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['healthy diet', 'tasty diet', 'no diet']",768.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['slice timing correction', 'motion correction', 'realign and unwarp', 'co-registration', 'normalization', 'spatial smoothing']",GLM,,,,,,4948867
fMRI-BOLD,task-based,block,cognitive,neutral,"['baseline', '0-back', '1-back', '2-back']",706.0,3T,gradient echo,EPI,3.1,SPM12,"['realignment', 'slice timing']",GLM,,,,,,8350031
fMRI,task-based,mixed,cognitive,neutral,"['Go', 'NoGo', 'congruent', 'incongruent']",1320.0,3T,gradient echo,EPI,2.5,SPM12,"['slice-timing', 'realignment', 'normalization', 'smoothing']",GLM,,,,,,8429380
fMRI,task-based,mixed,emotional,neutral,"['happiness', 'neutral emotion', 'irritability']",240.0,1.5T,gradient echo,echo planar imaging (EPI),7.0,,"['motion correction', 'spin history correction', 'spatial Gaussian smoothing']",GLM,,,,,,4080327
fMRI-BOLD,task-based,mixed,emotional,neutral,"['manual', 'imagined manual', 'machine', 'imagined machine']",1500.0,3T,echo-planar,EPI,3.2,SPM12,['motion correction'],GLM,,,,,,7746800
fMRI,task-based,block,cognitive,non-painful,"['Fixation', 'Attention', 'No attention', 'Static']",780.0,2T,gradient echo,echo planar imaging (EPI),3x3,SPM,['motion correction'],GLM,,,,,,3094760
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['correct', 'alternative']",1020.0,3T,gradient echo,echo planar imaging (EPI),3mm,SPM5,"['realignment', 'spatial smoothing', 'normalization']",GLM,,,,,,2816174
fMRI,task-based,event-related,cognitive,neutral,"['angry', 'fearful', 'happy', 'neutral']",540.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,3217668
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3,DPARSF,"['motion correction', 'slice timing correction']",GLM,,,,,,8766814
fMRI-BOLD,task-based,mixed,emotional,neutral,"['emotional faces', 'crying baby sounds', 'thermal pain stimulation']",3000.0,3T,gradient echo,echo planar imaging (EPI),2.75,FSL,"['motion correction', 'spatial smoothing', 'high-pass temporal filtering']",GLM,experimental,arm,thermal,medium,short,7082015
fMRI,task-based,event-related,cognitive,neutral,"['baseline', 'anticipation', 'stimulation', 'post-stimulation']",1024.0,3T,gradient echo,echo planar imaging (EPI),2.6,AFNI,"['motion correction', 'slice timing correction']",linear mixed-effects model,experimental,breathing,respiratory load,medium,short,3875519
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['explicit happy', 'explicit fearful', 'explicit neutral', 'implicit happy', 'implicit fearful', 'implicit neutral']",,3T,gradient echo,echo planar imaging (EPI),2,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,6288484
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['willing to pay', 'Becker-DeGroot-Marschak']",,,,,,GingerALE,['coordinate transformation'],ALE,,,,,,10332630
fMRI-BOLD,resting-state,,,,,620.0,3T,gradient echo,EPI,3.5,SPM12,"['motion correction', 'slice time correction', 'spatial normalization', 'smoothing', 'detrend', 'filtering']",GLM,,,,,,10248137
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['nouns', 'nonnouns']",1200.0,3T,gradient echo,echo planar imaging (EPI),2-2-2,SPM8,"['realigning and unwarping', 'slice-time correction', 'normalization']",GLM,,,,,,5017316
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['self', 'friend', 'other']",,3T,gradient echo,echo planar imaging (EPI),2.75,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,4722250
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['inclusion', 'exclusion']",1800.0,3T,EPI,EPI,3,SPM8,"['realignment', 'coregistration', 'normalization', 'smoothing']",GLM,,,,,,4599064
fMRI,resting-state,,,,,600.0,1.5T,gradient echo,echo planar imaging (EPI),3x3x3,SPM,"['motion correction', 'slice timing correction']",ICA,chronic,abdominal,,,,5470568
MRI,,,,,,550.0,3T,gradient echo,3D,1,FreeSurfer,"['normalised for intensity', 'skull-stripping', 'manual editing of inaccuracies']",mixed effects modelling,,,,,,4936515
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['past events', 'control task']",160.0,3T,T2*-weighted,echo planar imaging (EPI),4,SPM5,"['motion correction', 'spatial normalization', 'spatial smoothing']",GLM,,,,,,3483777
fMRI-BOLD,resting-state,,,,,379.0,3T,gradient echo,echo planar imaging (EPI),1,fMRIPrep,"['motion correction', 'slice timing correction', 'skull stripping', 'intensity non-uniformity correction', 'nuisance signal regression']",GTA and FC analysis,,,,,,10551127
MRI,,,,,,,3T,inversion-recovery,3D,1.1,FreeSurfer,"['intensity normalization', 'skull stripping', 'removal of extracerebral tissue', 'volumetric labelling', 'white matter segmentation']",GLM,,,,,,7856638
fMRI-BOLD,task-based,block,cognitive,neutral,"['Dance', 'Control']",322.0,3T,gradient echo,EPI,2.5 mm x 2.5 mm x 3.0 mm,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,5711858
fMRI-BOLD,resting-state,,,,,486.0,3T,gradient echo,EPI,2.5 mm x 2.5 mm x 3.0 mm,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,5711858
Diffusion MRI,,,,,,,3T,spin echo,EPI,1.9 mm x 1.9 mm,FSL,"['motion correction', 'slice timing correction']",,,,,,,5711858
fMRI-BOLD,resting-state,,,,,,3T,EPI,EPI,3,SPM8,"['slice timing', 'realigning', 'normalization', 'denoising', 'filtering', 'smoothing']",GLM,chronic,head,,,,5487515
fMRI,task-based,mixed,cognitive,neutral,"['semantic', 'phonological', 'theory of mind', 'biological motion', 'faces', 'tools']",,,,,,GingerALE,,ALE,,,,,,10110446
fMRI-BOLD,task-based,mixed,cognitive,neutral,['neutral'],720.0,3T,triple-echo,echo planar imaging (EPI),4x4,SPM,"['motion correction', 'smoothing']",GLM,,,,,,3842844
fMRI-BOLD,resting-state,,,,,324.0,3T,EPI,EPI,3.34,SPM,"['slice timing correction', 'realignment', 'unwarping', 'coregistration', 'segmentation', 'normalization', 'smoothing']",GLM,,,,,,6379643
fMRI-BOLD,task-based,block,cognitive,neutral,"['mourning', 'neutral']",96.0,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,6402375
fMRI-BOLD,resting-state,,,,,240.0,3T,,EPI,3,SPM,"['motion correction', 'slice timing correction', 'spatial normalization', 'linear detrending', 'temporal band-pass filtering']",GLM,,,,,,7456987
SPECT,,,,,,,,,,,,,,,,,,,7903321
FDG-PET,resting-state,,,,,,,,,,,,,,,,,,7903321
fMRI,resting-state,,,,,,,,,,,,,,,,,,7903321
fMRI,activation,mixed,cognitive,,,,,,,,,,,,,,,,7903321
fMRI,task-based,block,cognitive,neutral,"['suprathreshold', 'perithreshold']",32.0,3T,gradient echo,echo planar imaging (EPI),3.125,FMRIBs Improved Linear Model,"['slice time correction', 'motion correction', 'non-brain-removal', 'spatial smoothing', 'mean-based intensity normalization', 'high-pass temporal filtering']",GLM,,,,,,1479865
fMRI-BOLD,resting-state,,,,,600.0,3T,EPI,EPI,3x3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,4649361
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['CS+', 'CS']",2400.0,3T,EPI,EPI,3x3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,4649361
fMRI,task-based,event-related,cognitive,neutral,"['neutral', 'incongruent', 'congruent', 'rest']",450.0,7T,multiband echo-planar imaging (EPI),echo planar imaging (EPI),1.25,SPM,"['realignment', 'slice timing correction', 'outlier detection', 'segmentation', 'normalization', 'smoothing']",GLM,,,,,,10859529
fMRI-BOLD,resting-state,,,,,,,,3D,3,AFNI,"['removing the first 10 volumes', 'correcting for head motion in the time series', 'removing the skull', 'spatial smoothing using a Gaussian kernel with a full width at half maximum (FWHM) of 6mm', 'bandpass filtering between 0.005-0.1Hz', 'removing linear and quadratic trends', 'regression of nuisance signals (cerebrospinal fluid, white matter, and global signals)', 'normalizing to the Montreal Neurological Institute (MNI) space with a resolution of 3x3x3mm', 'regressing out six head motion signals to decrease their effects']",linear support vector regression,,,,,,7062843
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['Go', 'Go/No-Go']",256.0,3T,T2-weighted echo planar imaging (EPI),EPI,2 2 2,SPM,"['motion correction', 'slice timing correction', 'spatial normalization', 'skull stripping']",GLM,,,,,,8766797
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3.75 3.75 4,SPM12,"['discarded first 10 functional volumes', 'corrected for acquisition time intervals', 'realigned to the first volume for motion correction', 'spatially normalized into MNI space', 'smoothed with an 8-mm Gaussian kernel', 'detrending analysis', 'regressed out white matter signals', 'regressed out cerebrospinal fluid signals', 'band-pass filtering (0.01-0.08 Hz)']",GLM,,,,,,8795074
Cerenkov luminescence imaging,,,,,,,,,,,Living Image 3.2,,,,,,,,3358266
Cerenkov luminescence imaging,,,,,,,,,,,Living Image 3.2,,,,,,,,3358266
Cerenkov luminescence imaging,,,,,,,,,,,Living Image 3.2,,,,,,,,3358266
Cerenkov luminescence imaging,,,,,,,,,,,Living Image 3.2,,,,,,,,3358266
Cerenkov luminescence imaging,,,,,,,,,,,Living Image 3.2,,,,,,,,3358266
Cerenkov luminescence imaging,,,,,,,,,,,Living Image 3.2,,,,,,,,3358266
Cerenkov luminescence imaging,,,,,,,,,,,Living Image 3.2,,,,,,,,3358266
Cerenkov luminescence imaging,,,,,,,,,,,Living Image 3.2,,,,,,,,3358266
Cerenkov luminescence imaging,,,,,,,,,,,Living Image 3.2,,,,,,,,3358266
Cerenkov luminescence imaging,,,,,,,,,,,Living Image 3.2,,,,,,,,3358266
Kinect,,,motor,,,600.0,,,,,,"['synchronization of data sequences', 'outlier removal']",,,,,,,6057630
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['I:S', 'I:S', 'S:S', 'I:I']",7200.0,3T,gradient echo,echo planar imaging (EPI),3x3x3.5,SPM8,"['slice-time correction', 'spatial realignment', 'co-registration to the participants T1 image', 'normalization to Montreal Neurological Institute coordinates', 'spatial smoothing with a Gaussian kernel']",GLM,,,,,,4221218
fMRI-BOLD,task-based,mixed,cognitive,non-painful,['emotion processing'],,,,,,GingerALE 3.0.2,['motion correction'],ALE,,,,,,10545708
fMRI-BOLD,resting-state,,,,,,,,,,GingerALE 3.0.2,['motion correction'],ALE,,,,,,10545708
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3.2,SPM12,"['motion correction', 'slice timing correction', 'DARTEL', 'normalization', 'linear trend removal', 'noise removal', 'band-pass filter']",ANOVA,,,,,,11007178
fMRI,task-based,block,cognitive,,"['self', 'other', 'semantic']",900.0,3T,gradient echo,echo planar imaging (EPI),3.5,SPM 8,"['slicetime correction', 'realignment', 'coregistration', 'spatial normalization', 'smoothing']",GLM,,,,,,3796073
fNIRS,,,,,,,,,,,MATLAB R2013a,"['motion artifact correction', 'detrending', 'filtering', 'outlier rejection']",GLM,,,,,,10828893
fMRI-BOLD,resting-state,,,,,440.0,3T,gradient echo,echo planar imaging (EPI),3,"SPM5, DPARSF, REST","['motion correction', 'slice timing correction']",GLM,,,,,,3462752
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['harmonic', 'disharmonic']",3.6,3T,gradient echo,EPI,1.0,SPM8,"['slice time correction', 'realignment', 'indirect normalization', 'smoothing']",GLM,,,,,,4723992
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['moralpersonal', 'moralimpersonal', 'nonmoral']",360.0,3T,gradient echo,echo planar imaging (EPI),2.42,"AFNI, FSL","['motion correction', 'slice timing correction']",GLM,,,,,,6577614
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3.75 x 3.75 x 4,AFNI,"['motion correction', 'slice timing correction', 'detrending', 'physiological artifact removal']",GLM,,,,,,4783046
fMRI,resting-state,,,,,360.0,3T,gradient echo,echo planar imaging (EPI),3.4,"AFNI, FSL","['slice-time correction', 'motion correction', 'field map correction', 'registration to anatomical images', 'bandpass filtering']",GLM,,,,,,3792552
MRI,,,,,,,3T,gradient echo,3D,1.1,SPM12,"['motion correction', 'normalization', 'smoothing']",GLM,,,,,,4740928
